CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
544859219,06/20/2010,00:01:00,03/01/2012,12:00:00,50.0,03/07/2012,340,FRAUDS,718.0,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,,,1010176.0,259453.0,,,,,40.878782978,-73.906249127,"(40.878782978, -73.906249127)",PATROL BORO BRONX,,25-44,WHITE,F
890218048,04/22/2014,20:30:00,04/22/2014,20:39:00,6.0,04/22/2014,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,MANHATTAN,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1.0,,,,983551.0,208788.0,,,,2.0,40.73975965,-74.002523863,"(40.73975965, -74.002523863)",PATROL BORO MAN SOUTH,8 AVENUE,,UNKNOWN,E
780575121,02/27/2016,00:40:00,02/27/2016,00:50:00,67.0,02/27/2016,235,DANGEROUS DRUGS,567.0,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,,,998590.0,177084.0,18-24,BLACK,M,,40.652727946,-73.948321553,"(40.652727946, -73.948321553)",PATROL BORO BKLYN SOUTH,,UNKNOWN,UNKNOWN,E
703876290,06/25/2007,20:35:00,,,106.0,06/25/2007,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,QUEENS,FRONT OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0.0,,,,1035864.0,185848.0,25-44,UNKNOWN,M,,40.676644333,-73.813923042,"(40.676644333, -73.813923042)",PATROL BORO QUEENS SOUTH,,18-24,UNKNOWN,F
587686377,04/27/2007,22:00:00,04/28/2007,00:17:00,42.0,04/28/2007,361,OFF. AGNST PUB ORD SENSBLTY &,639.0,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,,,1014875.0,244467.0,,UNKNOWN,,,40.837635873,-73.889325316,"(40.837635873, -73.889325316)",PATROL BORO BRONX,,25-44,BLACK,F
445167291,10/25/2010,06:30:00,10/25/2010,07:00:00,14.0,10/25/2010,351,CRIMINAL MISCHIEF & RELATED OF,254.0,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0.0,,,,986733.0,211747.0,,,,,40.747881047,-73.991040191,"(40.747881047, -73.991040191)",PATROL BORO MAN SOUTH,,,UNKNOWN,E
446346355,11/15/2011,13:20:00,,,6.0,11/15/2011,351,CRIMINAL MISCHIEF & RELATED OF,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,VARIETY STORE,N.Y. POLICE DEPT,0.0,,,,982320.0,206311.0,,,,,40.732960713,-74.006965345,"(40.732960713, -74.006965345)",PATROL BORO MAN SOUTH,,,UNKNOWN,E
591101361,12/15/2011,07:30:00,12/15/2011,07:35:00,61.0,12/26/2011,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,,,1003059.0,156476.0,,WHITE HISPANIC,F,,40.596154947,-73.93227316,"(40.596154947, -73.93227316)",PATROL BORO BKLYN SOUTH,,45-64,WHITE,F
468147304,12/12/2009,00:20:00,,,43.0,12/12/2009,352,CRIMINAL TRESPASS,205.0,"TRESPASS 2, CRIMINAL",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,,,1018624.0,241853.0,,,,,40.830447407,-73.875790162,"(40.830447407, -73.875790162)",PATROL BORO BRONX,,,UNKNOWN,E
147870780,04/30/2012,14:00:00,04/30/2012,14:45:00,13.0,05/01/2012,109,GRAND LARCENY,438.0,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,MANHATTAN,INSIDE,HOSPITAL,N.Y. POLICE DEPT,0.0,,,,987033.0,207016.0,,,,,40.734895538,-73.989959434,"(40.734895538, -73.989959434)",PATROL BORO MAN SOUTH,,45-64,WHITE,F
933775015,01/20/2015,20:30:00,01/20/2015,20:30:00,42.0,01/20/2015,109,GRAND LARCENY,404.0,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",COMPLETED,FELONY,BRONX,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1.0,,,,1014172.0,241737.0,,BLACK,M,12.0,40.830145224,-73.891878074,"(40.830145224, -73.891878074)",PATROL BORO BRONX,FREEMAN STREET,25-44,BLACK,F
428141930,12/12/2016,16:30:00,12/12/2016,16:40:00,61.0,12/12/2016,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,FRONT OF,OTHER,N.Y. POLICE DEPT,0.0,,,,996385.0,153672.0,UNKNOWN,UNKNOWN,U,,40.588470179,-73.956310225,"(40.588470179, -73.956310225)",PATROL BORO BKLYN SOUTH,,18-24,WHITE,F
544765082,11/28/2018,09:00:00,11/28/2018,09:05:00,28.0,11/28/2018,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,DOCTOR/DENTIST OFFICE,N.Y. POLICE DEPT,0.0,,,,998816.0,233545.0,,,,,40.807699163000045,-73.94738485799998,"(40.807699163, -73.947384858)",PATROL BORO MAN NORTH,,45-64,BLACK,M
145384615,04/08/2007,21:40:00,04/09/2007,07:45:00,106.0,04/09/2007,351,CRIMINAL MISCHIEF & RELATED OF,254.0,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0.0,,,,1032804.0,182248.0,,,,,40.66678047,-73.824980832,"(40.66678047, -73.824980832)",PATROL BORO QUEENS SOUTH,,,WHITE,M
589531002,09/30/2007,10:00:00,10/07/2007,10:00:00,66.0,10/07/2007,107,BURGLARY,221.0,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,,,991501.0,167813.0,,,,,40.627289674,-73.973879542,"(40.627289674, -73.973879542)",PATROL BORO BKLYN SOUTH,,25-44,WHITE,M
463393013,09/04/2007,22:30:00,,,94.0,09/04/2007,117,DANGEROUS DRUGS,568.0,"MARIJUANA, POSSESSION 1, 2 & 3",COMPLETED,FELONY,BROOKLYN,,STREET,N.Y. POLICE DEPT,0.0,,,,1000036.0,200433.0,,,,,40.716813155,-73.943055619,"(40.716813155, -73.943055619)",PATROL BORO BKLYN NORTH,,,UNKNOWN,E
734520555,01/01/2012,01:20:00,01/01/2012,01:21:00,1.0,01/01/2012,359,OFFENSES AGAINST PUBLIC ADMINI,750.0,RESISTING ARREST,COMPLETED,MISDEMEANOR,MANHATTAN,,PARK/PLAYGROUND,N.Y. POLICE DEPT,0.0,,,,981327.0,197641.0,,,,,40.709163378,-74.010544557,"(40.709163378, -74.010544557)",PATROL BORO MAN SOUTH,,,UNKNOWN,E
